CORINTHIANS;t;BRA;1;ffffff;000000;000000;
Bobadilla;gr;PAR;;1;
Julio Cesar;gr;BRA;;0;
Alessandro;df;BRA;;1;
Willian;df;BRA;;1;
Chicao;df;BRA;;1;
Leandro Castan;df;BRA;;0;
Paulo Andre;df;BRA;;0;
Roberto Carlos;df;BRA;;1;
Elias;md;BRA;;1;
Jucilei;md;BRA;;1;
Danilo;md;BRA;;1;
Bruno Cesar;md;BRA;;1;
Ralf;md;BRA;;0;
Jorge Henrique;av;BRA;;0;
Dentinho;av;BRA;;1;
Ronaldo;av;BRA;;1;
SAO PAULO;t;BRA;1;ffffff;000000;ff0000;
Rogerio Ceni;gr;BRA;;1;
Denis;gr;BRA;;0;
Junior Cesar;df;BRA;;1;
Ilsinho;df;BRA;;1;
Miranda;df;BRA;;1;
Renato Silva;df;BRA;;1;
Jean;df;BRA;;0;
Cleber Santana;md;BRA;;1;
Jorge Wagner;md;BRA;;1;
Marlos;md;BRA;;1;
Richarlyson;md;BRA;;1;
Lucas;md;BRA;;0;
Rodrigo Souto;md;BRA;;0;
Ricardo Oliveira;av;BRA;;0;
Dagoberto;av;BRA;;1;
Fernandao;av;BRA;;1;
INTERNACIONAL;t;BRA;1;ff0000;ffffff;ffffff;
Renan;gr;BRA;;1;
Abbondanzieri;gr;ARG;;0;
Kleber;df;BRA;;1;
Bolivar;df;BRA;;1;
Fabiano Eller;df;BRA;;1;
Sorondo;df;URU;;1;
Indio;df;BRA;;0;
Andrezinho;md;BRA;;0;
Giuliano;md;BRA;;1;
Guinazu;md;ARG;;1;
Tinga;md;BRA;;0;
Oscar;md;BRA;;1;
D'Alessandro;md;ARG;;1;
Edu;av;BRA;;0;
Alecssandro;av;BRA;;1;
Rafael Sobis;av;BRA;;1;
CRUZEIRO;t;BRA;1;0000ff;ffffff;ffffff;
Fabio;gr;BRA;;1;
Rafael;gr;BRA;;0;
Jonathan;df;BRA;;1;
Diego Renan;df;BRA;;1;
Edcarlos;df;BRA;;1;
Leonardo Silva;df;BRA;;1;
Leo;df;BRA;;0;
Fabricio;md;BRA;;1;
Fabinho;md;BRA;;1;
Henrique;md;BRA;;1;
Marquinhos Pr;md;BRA;;0;
Gilberto;md;BRA;;0;
Montillo;md;ARG;;1;
Thiago Ribeiro;av;BRA;;1;
Wallyson;av;BRA;;0;
Welington Pta.;av;BRA;;1;
PALMEIRAS;t;BRA;1;00ff00;ffffff;ffffff;
Marcos;gr;BRA;;1;
Bruno;gr;BRA;;0;
Danilo;df;BRA;;1;
Mauricio Ramos;df;BRA;;1;
Gabriel Silva;df;BRA;;1;
Rivaldo;df;BRA;;1;
Vitor;df;BRA;;0;
Edinho;md;BRA;;1;
Lincoln;md;BRA;;1;
Jumar;md;BRA;;1;
Pierre;md;BRA;;1;
Marcos Assuncao;md;BRA;;0;
Marcio Araujo;md;BRA;;0;
Valdivia;av;CHI;;1;
Ewerthon;av;BRA;;1;
Kleber;av;BRA;;0;
GREMIO;t;BRA;1;0000ff;000000;ffffff;
Victor;gr;BRA;;1;
Marcelo Grohe;gr;BRA;;0;
Gabriel;df;BRA;;1;
Mario Fernandes;df;BRA;;1;
Vilson;df;BRA;;1;
Rafael Marques;df;BRA;;1;
Fabio Santos;df;BRA;;0;
Ferdinando;md;BRA;;1;
Douglas;md;BRA;;1;
Adilson;md;BRA;;1;
Souza;md;BRA;;1;
Fabio Rochemback;md;BRA;;0;
Hugo;md;BRA;;0;
Andre Lima;av;BRA;;0;
Borges;av;BRA;;1;
Jonas;av;BRA;;1;
FLAMENGO;t;BRA;1;ff0000;000000;000000;
Marcelo Lomba;gr;BRA;;1;
Vinicius;gr;BRA;;0;
Juan;df;BRA;;1;
Ronaldo Angeli;df;BRA;;1;
David;df;BRA;;1;
Welinton;df;BRA;;0;
Leo Moura;df;BRA;;1;
Correa;md;BRA;;0;
